"repo_name","repo_description","wbso_relevance"
"pkuppens/on_prem_rag","On-Premises RAG Solution: Talk with your documents and data without the Cloud concerns","Core WBSO project - Direct implementation of privacy-aware RAG system with local data processing"
"pkuppens/WBSO-AICM-2025-01","Framework voor AI-agenten in interactieve, datacontext-rijke en veilige communicatiesystemen","Core WBSO project - Direct project repository with framework development"
"pkuppens/langflow_org","Create an Organization of AI Agents with LangFlow/AutoGen","Highly relevant - AI agent organization and coordination directly supports WBSO agent framework development"
"pkuppens/context_engineering","Exploring Context Engineering","Highly relevant - Context-aware processing essential for WBSO role-based access control and intent recognition"
"pkuppens/healthcare-aigent","Healthcare AI Agent system proof of concept","Highly relevant - Healthcare domain requires same privacy/security concerns as WBSO project, good reference implementation"
"pkuppens/motivatie-brieven-ai","Voor het schrijven van motivatie brieven met behulp van AI","Highly relevant - Handles confidential CV/resume data with RAG techniques for job matching, directly applicable to WBSO privacy-aware data processing"
"pkuppens/chrome_extensions","Create one or more Chrome Extensions for personal use based on RAG document storage and retrieval","Related - RAG document storage/retrieval techniques applicable to WBSO project"
"pkuppens/gemini_agent","Datacation Deep Dive Google Gemini Agent Workshop","Related - Agent development techniques and LLM integration relevant to WBSO AI agent framework"
"pkuppens/job_hunt","Automating Job Hunting tasks with AI Agents. Optimize Job Hunt searches and applications.","Related - AI agent automation patterns applicable to WBSO agent development"
"pkuppens/gmail_summarize_draft","Processing My GMail","Related - Data processing and summarization techniques applicable to WBSO data handling"
"pkuppens/my_chat_gpt","Collection of ChatGPT experiments","Related - LLM interaction patterns and prompt engineering relevant to WBSO LLM integration"
"pkuppens/genai-hackathon","Code for the 2024 GenAI Works Hackathon #BuildWithAI","Related - GenAI development experience and rapid prototyping relevant to WBSO development"
"pkuppens/datacation-chatbot-workspace","Chatbot Creation Workshop, uses RAG like backend","Low relevance - More of a Chatbot workshop, though with RAG based queries"
